"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2017","0.9150","0.9896","0.9896","0.9000","374.72K","-7.54%"
"04/23/2017","0.9310","0.9150","0.9649","0.8900","458.30K","1.75%"
"04/30/2017","0.9830","0.9310","0.9929","0.9120","693.73K","5.59%"
"05/07/2017","0.9778","0.9830","0.9986","0.9280","1.22M","-0.53%"
"05/14/2017","0.9900","0.9778","0.9990","0.9615","708.09K","1.25%"
"05/21/2017","1.0000","0.9900","1.0700","0.9768","1.68M","1.01%"
"05/28/2017","1.0300","1.0000","1.0700","1.0000","2.01M","3.00%"
"06/04/2017","1.0000","1.0300","1.0500","0.9990","1.65M","-2.91%"
"06/11/2017","1.0100","1.0000","1.0700","0.9840","2.50M","1.00%"
"06/18/2017","1.0200","1.0100","1.0200","0.9969","3.30M","0.99%"
"06/25/2017","1.0100","1.0200","1.0300","0.9930","6.06M","-0.98%"
"07/02/2017","1.0100","1.0100","1.0400","1.0100","3.66M","0.00%"
"07/09/2017","0.9990","1.0100","1.0100","0.9990","5.80M","-1.09%"
"07/16/2017","0.9976","0.9990","1.0100","0.9803","4.12M","-0.14%"
"07/23/2017","1.0000","0.9976","1.0100","0.9830","6.14M","0.24%"
"07/30/2017","1.0000","1.0000","1.0100","0.9650","4.36M","0.00%"
"08/06/2017","1.0100","1.0000","1.0100","0.9800","5.40M","1.00%"
"08/13/2017","1.0000","1.0100","1.0100","0.9844","6.77M","-0.99%"
"08/20/2017","1.0100","1.0000","1.0400","1.0000","2.12M","1.00%"
"08/27/2017","1.0200","1.0100","1.0700","1.0000","2.49M","0.99%"
"09/03/2017","1.0100","1.0200","1.0500","1.0100","5.52M","-0.98%"
"09/10/2017","1.0100","1.0100","1.0300","0.9953","5.83M","0.00%"
"09/17/2017","1.0000","1.0100","1.0200","0.9882","3.89M","-0.99%"
"09/24/2017","0.9998","1.0000","1.0100","0.9905","5.59M","-0.02%"
"10/01/2017","0.9943","0.9998","1.0000","0.9906","6.10M","-0.55%"
"10/08/2017","0.9958","0.9943","0.9980","0.9904","7.52M","0.15%"
"10/15/2017","0.9990","0.9958","1.0100","0.9700","6.22M","0.32%"
"10/22/2017","1.0000","0.9990","1.0100","0.9990","7.12M","0.10%"
"10/29/2017","1.0000","1.0000","1.0100","1.0000","6.74M","0.00%"
"11/05/2017","1.0100","1.0000","1.0100","1.0000","5.77M","1.00%"
"11/12/2017","0.9987","1.0100","1.0100","0.9987","5.28M","-1.12%"
"11/19/2017","0.9970","0.9987","1.0000","0.9970","4.60M","-0.17%"
"11/26/2017","0.9959","0.9970","0.9970","0.9959","6.01M","-0.11%"
"12/03/2017","1.0000","0.9959","1.0000","0.9959","11.31M","0.41%"
"12/10/2017","1.0100","1.0000","1.0100","1.0000","7.35M","1.00%"
"12/17/2017","1.0300","1.0100","1.0300","1.0100","16.52M","1.98%"
"12/24/2017","1.0200","1.0300","1.0300","1.0200","22.78M","-0.97%"
"12/31/2017","1.0000","1.0200","1.0200","1.0000","11.99M","-1.96%"
"01/07/2018","1.0100","1.0000","1.0170","1.0000","11.97M","1.00%"
"01/14/2018","1.0122","1.0100","1.0122","1.0100","45.52M","0.22%"
"01/21/2018","0.9950","1.0122","1.0122","0.9950","29.89M","-1.70%"
"01/28/2018","0.9965","0.9950","0.9965","0.9950","58.46M","0.15%"
"02/04/2018","1.0029","0.9965","1.0029","0.9965","31.96M","0.64%"
"02/11/2018","1.0060","1.0028","1.0060","1.0028","13.64M","0.31%"
"02/18/2018","1.0030","1.0060","1.0060","0.9999","23.91M","-0.31%"
"02/25/2018","1.0015","1.0030","1.0030","1.0015","16.31M","-0.15%"
"03/04/2018","1.0034","1.0015","1.0034","1.0015","18.90M","0.19%"
"03/11/2018","1.0024","1.0034","1.0034","1.0024","13.12M","-0.09%"
"03/18/2018","1.0023","1.0024","1.0024","1.0023","11.02M","-0.01%"
"03/25/2018","1.0003","1.0023","1.0023","1.0003","10.37M","-0.20%"
"04/01/2018","1.0021","1.0003","1.0021","0.9941","10.79M","0.18%"
"04/08/2018","1.0004","1.0021","1.0021","1.0004","10.28M","-0.17%"
"04/15/2018","1.0002","1.0004","1.0004","0.9932","8.36M","-0.02%"
"04/22/2018","1.0005","1.0002","1.0005","0.9952","14.10M","0.03%"
"04/29/2018","0.9930","1.0005","1.0005","0.9922","17.51M","-0.75%"
"05/06/2018","1.0001","0.9930","1.0012","0.9930","21.12M","0.72%"
"05/13/2018","0.9998","1.0001","1.0049","0.9998","8.36M","-0.03%"
"05/20/2018","0.9989","0.9998","1.0020","0.9989","8.49M","-0.09%"
"05/27/2018","0.9998","0.9989","0.9998","0.9989","7.70M","0.09%"
"06/03/2018","0.9987","0.9951","0.9987","0.9951","6.72M","-0.11%"
"06/10/2018","1.0007","1.0055","1.0055","1.0007","9.68M","0.20%"
"06/17/2018","1.0041","1.0246","1.0246","1.0041","6.33M","0.35%"
"06/24/2018","0.9988","1.0212","1.0212","0.9988","7.17M","-0.53%"
"07/01/2018","1.0003","0.9997","1.0003","0.9997","4.11M","0.14%"
"07/08/2018","0.9994","1.0044","1.0044","0.9958","4.33M","-0.09%"
"07/15/2018","0.9998","1.0045","1.0045","0.9998","13.06M","0.04%"
"07/22/2018","0.9985","0.9997","0.9997","0.9922","10.04M","-0.13%"
"07/29/2018","0.9989","0.9985","0.9989","0.9985","8.30M","0.04%"
"08/05/2018","1.0011","1.0021","1.0021","1.0011","8.90M","0.22%"
"08/12/2018","1.0019","1.0011","1.0019","1.0011","8.98M","0.08%"
"08/19/2018","1.0007","1.0019","1.0019","0.9968","4.53M","-0.13%"
"08/26/2018","0.9983","1.0052","1.0052","0.9983","9.76M","-0.23%"
"09/02/2018","1.0005","0.9983","1.0005","0.9983","14.47M","0.21%"
"09/09/2018","1.0000","1.0005","1.0005","1.0000","10.64M","-0.05%"
"09/16/2018","0.9986","1.0065","1.0065","0.9986","6.79M","-0.14%"
"09/23/2018","0.9972","0.9986","0.9986","0.9972","8.81M","-0.14%"
"09/30/2018","0.9940","0.9972","0.9972","0.9940","7.92M","-0.33%"
"10/07/2018","0.9803","0.9940","0.9940","0.9803","14.38M","-1.37%"
"10/14/2018","0.9738","0.9803","1.0203","0.8718","57.22M","-0.67%"
"10/21/2018","0.9901","1.0001","1.0083","0.9682","12.24M","1.67%"
"10/28/2018","0.9942","1.0084","1.0120","0.9828","61.20M","0.41%"
"11/04/2018","0.9879","0.9942","0.9989","0.9858","20.98M","-0.63%"
"11/11/2018","0.9798","1.0008","1.0016","0.9420","51.94M","-0.82%"
"11/18/2018","0.9637","0.9798","0.9982","0.9319","61.11M","-1.65%"
"11/25/2018","0.9881","0.9637","0.9930","0.9472","44.39M","2.54%"
"12/02/2018","0.9964","0.9881","1.0036","0.9805","23.67M","0.84%"
"12/09/2018","0.9922","0.9964","1.0104","0.9864","17.34M","-0.42%"
"12/16/2018","1.0082","0.9922","1.0145","0.9897","29.14M","1.61%"
